layer_0_weights,layer_0_biases,layer_1_weights,layer_1_biases,layer_2_weights,layer_2_biases
0.050580535,-0.025398988,0.17408411,-0.038681805,-0.28371271,0.32837686
0.25051776,-0.020228993,0.0770788,0.011935617,0.011663596,
0.07581475,0.053395778,0.02645793,0.03353808,0.056725565,
0.08958192,-0.07186646,-0.09090083,-0.03689912,-0.21801892,
0.1215983,0.09907012,-0.0019368959,-0.026229618,-0.02757169,
0.2480159,0.0507924,0.15916349,-0.040264588,-0.14756349,
-0.15938696,-0.035161056,0.19693652,0.0157399,0.018078933,
0.18071894,-0.008883407,-0.0780384,-0.03531192,-0.04725877,
0.281624,0.015993994,-0.24496001,0.025573326,0.16808529,
-0.15201615,0.058670513,0.008477793,0.0036851487,-0.002041183,
0.077424444,0.08366805,-0.17585641,-0.023835119,-0.09078469,
0.29207048,-0.008113076,0.009536513,-0.02206974,-0.16523534,
-0.23899354,0.03002157,0.043569475,-0.00058573997,-0.08651861,
-0.026951868,0.04279256,-0.13439035,-0.02566095,-0.23490036,
-0.21734415,-0.031062517,-0.018393667,-0.027733771,-0.14392166,
-0.31303596,-0.0024208028,-0.23452036,-0.0038170144,-0.082200356,
-0.12294802,-0.011648649,-0.17717257,-0.0033116122,-0.0061779427,
0.121444784,0.08406198,-0.050374147,0.055619106,0.12221489,
0.31957597,0.08992292,0.087547116,0.10121301,0.19010545,
-0.28881782,-0.013946606,-0.02324527,-0.033524938,-0.014690074,
0.17810103,-0.00759834,0.24073866,-0.023381613,-0.17638887,
-0.038008805,-0.019143056,-0.2387296,0.005786691,0.07664063,
0.10969073,-0.0074760146,-0.14663374,-0.031607155,-0.17186819,
0.022585152,0.06570289,0.06518597,0.009442005,0.03784868,
-0.18709375,-0.025654633,0.018748298,0.00707689,0.21607965,
0.11892185,-0.0015190571,0.084063955,-0.07091536,-0.08777376,
-0.08274465,-0.021682514,0.24575675,-0.013577302,-0.0503237,
-0.12484424,-0.012519166,0.24307239,-0.052395843,-0.08555074,
-0.19106533,0.027202772,0.17219424,0.0024656595,-0.1915343,
0.09570418,0.01977671,-0.10283889,0.04144227,0.091888346,
0.09924922,0.0011193982,0.16143763,0.040965345,0.06652737,
-0.2685642,-0.021760019,-0.24993345,-0.013559247,-0.16294375,
-0.106218554,,0.24817693,0.0,0.16949984,
-0.1811217,,-0.15093353,0.08694469,0.23813385,
0.21003063,,-0.01811244,0.011949758,0.041873552,
-0.25525308,,0.046929713,-0.0339943,-0.15811162,
-0.10670913,,-0.025425754,0.061231863,0.18096137,
-0.19149934,,0.05141172,-0.014130494,-0.005482366,
-0.30046633,,0.22073212,-0.02567472,-0.012232157,
-0.097635664,,0.16648898,-0.054461867,-0.14252469,
0.15554507,,0.15672697,-0.0372452,-0.18278746,
0.26693198,,-0.15066344,0.11548021,0.3551559,
0.116797104,,-0.07731386,-0.045670867,-0.19060513,
0.03797713,,0.14502302,-0.07645991,-0.08873971,
-0.20627776,,-0.001416835,-0.003846478,0.031462867,
0.17548843,,-0.01925077,0.008592106,0.043909986,
-0.04161409,,-0.13213806,0.00013037997,0.0061081205,
0.16265719,,0.12440669,0.0047253445,0.10196561,
-0.13213606,,0.13428545,0.0017808723,0.006141225,
0.099321134,,-0.087369785,-0.028396793,-0.25176182,
0.33628666,,0.2180535,0.029128013,0.050394583,
-0.3134318,,-0.19945289,-0.028208846,0.13315941,
-0.3005582,,-0.20969036,-0.038503513,-0.17471445,
