8,10,14,15,4*10,8*9,9*10,9*19,9*20,10*14,10*20,13*14,8*9*14,9*10*19,9*10*20,9*15*19,10*14*20,Actual Energy,energy-only two way,energy-three way,three way-actual,two way-actual
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0.535,0.535,0.005,0.005
0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.707,0.704,0.704,0.003,0.003
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.438,0.444,0.444,0.006,0.006
1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0.337,0.34,0.267,0.07,0.003
1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.749,0.743,0.743,0.006,0.006
1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.27,0.272,0.272,0.002,0.002
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.781,0.776,0.776,0.005,0.005
1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.824,0.83,0.81,0.014,0.006
1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.228,0.22,0.22,0.008,0.008
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.551,0.55,0.55,0.001,0.001
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.493,0.483,0.483,0.01,0.01
0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0.338,0.338,0.297,0.041,9.99E-16
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0.815,0.815,0.005,0.005
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.734,0.724,0.724,0.01,0.01
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0.444,0.444,0.006,0.006
0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.418,0.419,0.419,0.001,0.001
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435,0.444,0.444,0.009,0.009
0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0.532,0.527,0.454,0.078,0.005
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.548,0.55,0.55,0.002,0.002
1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0.481,0.482,0.482,0.001,0.001
1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.211,0.22,0.22,0.009,0.009
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.606,0.616,0.616,0.01,0.01
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.488,0.483,0.483,0.005,0.005
1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.221,0.22,0.22,0.001,0.001
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.192,0.194,0.194,0.002,0.002
1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0.533,0.537,0.517,0.016,0.004
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,0.265,0.265,0.005,0.005
0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0.573,0.564,0.532,0.041,0.009
0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.747,0.756,0.756,0.009,0.009
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.731,0.724,0.724,0.007,0.007
1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0.581,0.581,0.488,0.093,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.819,0.815,0.815,0.004,0.004
0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0.289,0.286,0.213,0.076,0.003
1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.771,0.763,0.763,0.008,0.008
0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0.257,0.262,0.189,0.068,0.005
1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0.934,0.93,0.91,0.024,0.004
1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0.932,0.93,0.91,0.022,0.002
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.777,0.776,0.776,0.001,0.001
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.503,0.498,0.498,0.005,0.005
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.534,0.535,0.535,0.001,0.001
1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.739,0.743,0.743,0.004,0.004
1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.768,0.778,0.758,0.01,0.01
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.788,0.795,0.795,0.007,0.007
0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0.346,0.338,0.297,0.049,0.008
